domain,url
bg.wikipedia.org,https://bg.wikipedia.org/wiki/%D0%9D%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0
ms.wikipedia.org,https://ms.wikipedia.org/wiki/Laman_Utama
zh.wikipedia.org,https://zh.wikipedia.org/wiki/Wikipedia:%E9%A6%96%E9%A1%B5
ro.wikipedia.org,https://ro.wikipedia.org/wiki/Pagina_principal%C4%83
hu.wikipedia.org,https://hu.wikipedia.org/wiki/Kezd%C5%91lap
cs.wikipedia.org,https://cs.wikipedia.org/wiki/Hlavn%C3%AD_strana
vi.wikipedia.org,https://vi.wikipedia.org/wiki/Trang_Ch%C3%ADnh
da.wikipedia.org,https://da.wikipedia.org/wiki/Forside
hy.wikipedia.org,https://hy.wikipedia.org/wiki/%D4%B3%D5%AC%D5%AD%D5%A1%D5%BE%D5%B8%D6%80_%D5%A7%D5%BB
eo.wikipedia.org,https://eo.wikipedia.org/wiki/Vikipedio:%C4%88efpa%C4%9Do
uk.wikipedia.org,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0_%D1%81%D1%82%D0%BE%D1%80%D1%96%D0%BD%D0%BA%D0%B0
sv.wikipedia.org,https://sv.wikipedia.org/wiki/Portal:Huvudsida
he.wikipedia.org,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%95%D7%93_%D7%A8%D7%90%D7%A9%D7%99
ru.wikipedia.org,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0
ja.wikipedia.org,https://ja.wikipedia.org/wiki/%E3%83%A1%E3%82%A4%E3%83%B3%E3%83%9A%E3%83%BC%E3%82%B8
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikimedia_Foundation
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Contents/Portals
id.wikipedia.org,https://id.wikipedia.org/wiki/Halaman_Utama
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Reference_desk
pl.wikipedia.org,https://pl.wikipedia.org/wiki/Wikipedia:Strona_g%C5%82%C3%B3wna
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:News
it.wikipedia.org,https://it.wikipedia.org/wiki/Pagina_principale
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Featured_pictures
nl.wikipedia.org,https://nl.wikipedia.org/wiki/Hoofdpagina
en.wikipedia.org,https://en.wikipedia.org/wiki/Template:POTD/2024-07-12
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Village_pump
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Picture_of_the_day/Archive
en.wikipedia.org,https://en.wikipedia.org/wiki/Template:POTD/2024-07-13
en.wikipedia.org,https://en.wikipedia.org/wiki/Template:POTD/2024-07-11
es.wikipedia.org,https://es.wikipedia.org/wiki/Wikipedia:Portada
fr.wikipedia.org,https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal
en.wikipedia.org,https://en.wikipedia.org/wiki/Brooklyn_Dodgers
de.wikipedia.org,https://de.wikipedia.org/wiki/Wikipedia:Hauptseite
en.wikipedia.org,https://en.wikipedia.org/wiki/Harris_%26_Ewing
en.wikipedia.org,https://en.wikipedia.org/wiki/Racial_integration
en.wikipedia.org,https://en.wikipedia.org/wiki/User:Kentuckian
en.wikipedia.org,https://en.wikipedia.org/wiki/Major_League_Baseball
pt.wikipedia.org,https://pt.wikipedia.org/wiki/Wikip%C3%A9dia:P%C3%A1gina_principal
en.wikipedia.org,https://en.wikipedia.org/wiki/Jackie_Robinson
en.wikipedia.org,https://en.wikipedia.org/wiki/Commissioner_of_baseball
en.wikipedia.org,https://en.wikipedia.org/wiki/Kenesaw_Mountain_Landis
en.wikipedia.org,https://en.wikipedia.org/wiki/Pacific_War
en.wikipedia.org,https://en.wikipedia.org/wiki/New_Deal
en.wikipedia.org,https://en.wikipedia.org/wiki/Main_Page
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Special:CiteThisPage&page=Main_Page&id=1225315602&wpFormIdentifier=titleform
en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Main_Page
en.wikipedia.org,https://en.wikipedia.org/wiki/Special:SpecialPages
en.m.wikipedia.org,https://en.m.wikipedia.org/wiki/Main_Page
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Main_Page&oldid=1225315602
en.wikipedia.org,https://en.wikipedia.org/wiki/Special:MyTalk
ur.wikipedia.org,https://ur.wikipedia.org/wiki/%D8%B5%D9%81%D8%AD%DB%82_%D8%A7%D9%88%D9%84
en.wikipedia.org,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Main_Page
te.wikipedia.org,https://te.wikipedia.org/wiki/%E0%B0%AE%E0%B1%8A%E0%B0%A6%E0%B0%9F%E0%B0%BF_%E0%B0%AA%E0%B1%87%E0%B0%9C%E0%B1%80
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:General_disclaimer
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Main_Page&action=edit
en.wikipedia.org,https://en.wikipedia.org/wiki/Happy_Chandler
th.wikipedia.org,https://th.wikipedia.org/wiki/%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%81
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Text_of_the_Creative_Commons_Attribution-ShareAlike_4.0_International_License
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=Main+Page
sl.wikipedia.org,https://sl.wikipedia.org/wiki/Glavna_stran
sq.wikipedia.org,https://sq.wikipedia.org/wiki/Faqja_kryesore
pa.wikipedia.org,https://pa.wikipedia.org/wiki/%E0%A8%AE%E0%A9%81%E0%A9%B1%E0%A8%96_%E0%A8%B8%E0%A8%AB%E0%A8%BC%E0%A8%BE
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Main_Page&action=history
en.wikipedia.org,https://en.wikipedia.org/wiki/Special:MyContributions
my.wikipedia.org,https://my.wikipedia.org/wiki/%E1%80%97%E1%80%9F%E1%80%AD%E1%80%AF%E1%80%85%E1%80%AC%E1%80%99%E1%80%BB%E1%80%80%E1%80%BA%E1%80%94%E1%80%BE%E1%80%AC
mk.wikipedia.org,https://mk.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0
